Local time,Open,High,Low,Close,Volume
03.01.2022 18:45:00.000 GMT+0100,182.006,182.087,181.646,181.687,17.7675
03.01.2022 19:00:00.000 GMT+0100,181.697,182.087,181.636,181.996,17.115
03.01.2022 19:15:00.000 GMT+0100,182.007,182.267,181.946,182.217,13.5525
03.01.2022 19:30:00.000 GMT+0100,182.227,182.847,182.206,182.827,16.1475
03.01.2022 19:45:00.000 GMT+0100,182.826,182.867,182.296,182.357,18.0825
03.01.2022 20:00:00.000 GMT+0100,182.367,182.457,182.006,182.107,18.7575
03.01.2022 20:15:00.000 GMT+0100,182.107,182.297,181.796,181.857,15.81
03.01.2022 20:30:00.000 GMT+0100,181.866,182.277,181.656,182.177,14.865
03.01.2022 20:45:00.000 GMT+0100,182.186,182.247,181.866,181.866,10.77
03.01.2022 21:00:00.000 GMT+0100,181.857,182.187,181.706,182.127,11.302499999999998
03.01.2022 21:15:00.000 GMT+0100,182.117,182.137,181.866,182.137,8.0775
03.01.2022 21:30:00.000 GMT+0100,182.126,182.137,181.346,181.516,18.022499999999997
03.01.2022 21:45:00.000 GMT+0100,181.507,181.977,181.187,181.927,29.6175
03.01.2022 22:00:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 22:15:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 22:30:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 22:45:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 23:00:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 23:15:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 23:30:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
03.01.2022 23:45:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
04.01.2022 00:00:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
04.01.2022 00:15:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
04.01.2022 00:30:00.000 GMT+0100,181.927,181.927,181.927,181.927,0
